timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591129926986,764,Login as teacher,200,,setUp Thread Group 1-1,text,true,,1367,155,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/auth/demo/teacher,762,0,270
1591129927785,467,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,467,0,0
1591129928253,234,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,233,0,0
1591129928488,201,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,201,0,0
1591129928691,221,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,220,0,0
1591129928914,203,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,202,0,0
1591129929118,257,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,257,0,74
1591129929376,185,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,185,0,0
1591129929563,220,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,220,0,0
1591129929784,201,Create question,200,,setUp Thread Group 1-1,text,true,,833,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,201,0,0
1591129929986,184,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,184,0,0
1591129930171,206,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,206,0,0
1591129930378,223,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,222,0,0
1591129930602,201,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,201,0,0
1591129930804,202,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,202,0,0
1591129931007,227,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,227,0,0
1591129931235,256,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,256,0,62
1591129931492,220,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,220,0,0
1591129931713,229,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,229,0,0
1591129931943,191,Create question,200,,setUp Thread Group 1-1,text,true,,834,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,191,0,0
1591129932135,199,Create question,200,,setUp Thread Group 1-1,text,true,,834,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,199,0,0
1591129932335,363,Get list of questions,200,,setUp Thread Group 1-1,text,true,,3596,799,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions,362,0,0
1591129932714,356,Create quiz,200,,setUp Thread Group 1-1,text,true,,3438,1604,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/executions/11/quizzes,355,0,0
1591129933106,391,Login as student,200,,Thread Group 1-1,text,true,,1367,155,132,132,https://quizzes-tutor.tecnico.ulisboa.pt/api/auth/demo/student,391,0,114
1591129933113,433,Login as student,200,,Thread Group 1-3,text,true,,1367,155,147,147,https://quizzes-tutor.tecnico.ulisboa.pt/api/auth/demo/student,432,0,129
