timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591175372133,530,Login as teacher,200,,setUp Thread Group 1-1,text,true,,1367,155,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/auth/demo/teacher,523,0,344
1591175372706,197,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,197,0,0
1591175372904,205,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,205,0,0
1591175373111,227,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,227,0,0
1591175373339,223,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,223,0,0
1591175373563,215,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,215,0,0
1591175373779,232,Create question,200,,setUp Thread Group 1-1,text,true,,834,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,232,0,0
1591175374012,243,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,243,0,0
1591175374256,284,Create question,200,,setUp Thread Group 1-1,text,true,,836,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,284,0,69
1591175374542,222,Create question,200,,setUp Thread Group 1-1,text,true,,835,1227,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,222,0,0
1591175374766,216,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,215,0,0
1591175374983,229,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,229,0,0
1591175375213,225,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,225,0,0
1591175375439,218,Create question,200,,setUp Thread Group 1-1,text,true,,837,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,218,0,0
1591175375658,230,Create question,200,,setUp Thread Group 1-1,text,true,,834,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,230,0,0
1591175375889,222,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,222,0,0
1591175376112,223,Create question,200,,setUp Thread Group 1-1,text,true,,836,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,222,0,0
1591175376336,295,Create question,200,,setUp Thread Group 1-1,text,true,,835,1229,1,1,https://quizzes-tutor.tecnico.ulisboa.pt/api/courses/2/questions/,294,0,69
